kernels,kernel_size,accuracy,roc_auc,pr_auc,final_train_loss,final_test_loss
2,3,0.48360655737704916,0.5294275732330018,0.554280357781553,0.627968143671751,0.7170733958482742
2,6,0.5245901639344263,0.5393711367911851,0.5007754384836053,0.6308446992188692,0.7067734152078629
2,10,0.5573770491803278,0.5428648212846009,0.5080527680477324,0.594246381893754,0.7438780814409256
2,15,0.5491803278688525,0.5253963988175222,0.5659579987951577,0.6154408995062113,0.7307148575782776
2,20,0.45081967213114754,0.4512227895726955,0.4903309493553622,0.6037785224616528,0.7726308852434158
4,3,0.5491803278688525,0.5286213383499059,0.49714309273361296,0.5422904165461659,0.7670726031064987
4,6,0.5983606557377049,0.58210158559527,0.5470768193501625,0.5174757493659854,0.732477605342865
4,10,0.48360655737704916,0.5568395592582639,0.5447722044365352,0.51419547945261,0.7417983114719391
4,15,0.4672131147540984,0.4619725880139747,0.4668486953687902,0.5682460535317659,0.8009937107563019
4,20,0.5,0.4571351787153991,0.45728338836134447,0.5451692482456565,0.8122253268957138
8,3,0.5245901639344263,0.5205589895189465,0.5071909810746319,0.4802034003660083,0.7891941070556641
8,6,0.5,0.5294275732330018,0.5104201120208939,0.48875690903514624,0.7911026179790497
8,10,0.5491803278688525,0.5256651437785541,0.5369269523643281,0.49658994376659393,0.7593318223953247
8,15,0.4344262295081967,0.46492878258532655,0.4707324053556371,0.4620548579841852,0.8375405371189117
8,20,0.4918032786885246,0.48239720505240524,0.46634740708690237,0.44169924780726433,0.8640966415405273
16,3,0.5573770491803278,0.5810266057511422,0.5560801148334662,0.3930193344131112,0.8048861920833588
16,6,0.5737704918032787,0.5240526740123623,0.49230475075713886,0.3892880752682686,0.8520051389932632
16,10,0.4672131147540984,0.500940607363612,0.4727513796778244,0.40147930942475796,0.8771676421165466
16,15,0.4672131147540984,0.4799785004031174,0.4822912307107377,0.37009630911052227,0.9186079353094101
16,20,0.45901639344262296,0.4522977694168234,0.4663918286049457,0.37060952838510275,0.9510049372911453
24,3,0.5409836065573771,0.5713517871539908,0.5235062739685155,0.3516106754541397,0.8596085011959076
24,6,0.5819672131147541,0.5627519484009674,0.5325136723969038,0.3216105503961444,0.8795119225978851
24,10,0.5,0.5047030368180596,0.4804390330034164,0.31278850324451923,0.9643866568803787
24,15,0.5163934426229508,0.4947594732598764,0.483286558148457,0.32037559570744634,0.9223056435585022
24,20,0.45901639344262296,0.43214189733942493,0.4443058677028081,0.2883609659038484,1.0654572546482086
